order_date,product_name,category,region,quantity,sales,profit
2022-01-01,Mouse,Accessories,East,3,3474.0,565.0
2022-01-01,Monitor,Accessories,South,8,1296.0,273.97
2022-01-01,Tablet,Electronics,North,9,9234.0,2523.67
2022-01-01,Headphones,Accessories,South,7,3941.0,628.96
2022-01-01,Keyboard,Accessories,East,6,6372.0,570.75
2022-01-02,Mouse,Accessories,North,8,6600.0,360.45
2022-01-02,Headphones,Accessories,North,8,1240.0,251.2
2022-01-03,Camera,Electronics,North,7,2723.0,638.26
2022-01-04,Headphones,Accessories,North,2,2150.0,625.93
2022-01-04,Mouse,Accessories,South,9,9378.0,1740.97
2022-01-04,Printer,Office,East,6,6108.0,1488.4
2022-01-04,Laptop,Electronics,North,9,711.0,200.11
2022-01-05,Camera,Electronics,West,2,1686.0,146.39
2022-01-05,Mouse,Accessories,East,5,3745.0,720.08
2022-01-05,Laptop,Electronics,South,5,3625.0,563.95
2022-01-06,Printer,Office,North,1,232.0,34.26
2022-01-07,Smartphone,Electronics,South,3,2031.0,466.25
2022-01-07,Tablet,Electronics,North,3,3183.0,358.87
2022-01-07,Printer,Office,East,4,1412.0,150.13
2022-01-08,Mouse,Accessories,South,1,71.0,12.02
2022-01-08,Headphones,Accessories,South,5,3290.0,797.82
2022-01-08,Smartphone,Electronics,South,7,3983.0,360.13
2022-01-09,Tablet,Electronics,West,7,7623.0,1459.84
2022-01-09,Laptop,Electronics,South,8,2928.0,663.54
2022-01-10,Monitor,Accessories,West,5,4690.0,706.74
2022-01-10,Smartwatch,Electronics,North,3,2412.0,640.35
2022-01-10,Camera,Electronics,West,7,6076.0,788.14
2022-01-10,Headphones,Accessories,North,1,951.0,127.58
2022-01-10,Headphones,Accessories,West,4,1728.0,239.64
2022-01-11,Keyboard,Accessories,West,3,2529.0,169.6
2022-01-11,Headphones,Accessories,West,4,3036.0,511.69
2022-01-11,Smartphone,Electronics,East,3,2139.0,422.52
2022-01-11,Tablet,Electronics,North,7,2751.0,548.05
2022-01-11,Printer,Office,North,1,1016.0,171.31
2022-01-12,Headphones,Accessories,South,6,738.0,158.96
2022-01-12,Printer,Office,West,7,5635.0,1185.97
2022-01-12,Laptop,Electronics,South,1,379.0,84.38
2022-01-12,Smartwatch,Electronics,East,8,3048.0,444.3
2022-01-12,Printer,Office,West,1,349.0,42.05
2022-01-13,Smartphone,Electronics,East,2,1668.0,470.42
2022-01-13,Mouse,Accessories,East,7,3843.0,378.03
2022-01-13,Tablet,Electronics,South,2,1916.0,503.83
2022-01-13,Monitor,Accessories,West,2,1924.0,434.86
2022-01-13,Headphones,Accessories,South,8,4904.0,520.74
2022-01-14,Printer,Office,West,3,2817.0,588.47
2022-01-14,Camera,Electronics,South,7,3059.0,873.5
2022-01-14,Tablet,Electronics,North,9,2205.0,410.01
2022-01-15,Monitor,Accessories,North,4,1060.0,213.05
2022-01-15,Tablet,Electronics,North,7,3584.0,940.88
2022-01-15,Printer,Office,East,7,5957.0,1433.85
2022-01-16,Tablet,Electronics,East,3,1767.0,186.54
2022-01-16,Printer,Office,North,4,4428.0,600.55
2022-01-16,Smartphone,Electronics,North,3,231.0,36.73
2022-01-16,Laptop,Electronics,West,9,7650.0,2130.82
2022-01-16,Keyboard,Accessories,East,9,7425.0,1533.72
2022-01-17,Smartwatch,Electronics,West,3,1308.0,197.6
2022-01-17,Printer,Office,West,2,2238.0,294.54
2022-01-17,Mouse,Accessories,South,4,1316.0,244.13
2022-01-17,Headphones,Accessories,West,4,2384.0,577.26
2022-01-17,Printer,Office,East,1,1146.0,152.79
2022-01-18,Keyboard,Accessories,South,1,466.0,102.48
2022-01-18,Printer,Office,South,3,222.0,50.28
2022-01-18,Printer,Office,East,7,3780.0,351.51
2022-01-18,Tablet,Electronics,North,6,5640.0,856.44
2022-01-18,Keyboard,Accessories,East,1,717.0,137.27
2022-01-19,Mouse,Accessories,East,1,745.0,151.22
2022-01-19,Monitor,Accessories,West,5,4880.0,1250.66
2022-01-19,Monitor,Accessories,North,5,5500.0,1230.98
2022-01-19,Smartphone,Electronics,North,4,3668.0,839.4
2022-01-19,Camera,Electronics,South,4,4700.0,619.26
2022-01-19,Mouse,Accessories,East,8,1896.0,448.53
2022-01-20,Printer,Office,West,1,684.0,170.36
2022-01-20,Monitor,Accessories,East,1,513.0,87.58
2022-01-21,Camera,Electronics,East,9,8055.0,2300.17
2022-01-21,Tablet,Electronics,South,6,3702.0,407.34
2022-01-21,Tablet,Electronics,South,7,2758.0,520.66
2022-01-22,Printer,Office,South,4,1028.0,192.13
2022-01-22,Keyboard,Accessories,South,2,1860.0,327.15
2022-01-23,Camera,Electronics,East,7,1169.0,264.37
2022-01-23,Smartwatch,Electronics,East,8,4792.0,511.97
2022-01-24,Monitor,Accessories,North,6,6192.0,717.46
2022-01-24,Smartphone,Electronics,North,9,6606.0,759.55
2022-01-25,Smartwatch,Electronics,East,9,5337.0,1575.99
2022-01-25,Laptop,Electronics,South,1,288.0,61.85
2022-01-26,Headphones,Accessories,South,7,4186.0,655.53
2022-01-26,Printer,Office,East,6,2100.0,202.86
2022-01-26,Headphones,Accessories,West,6,5982.0,944.81
2022-01-26,Monitor,Accessories,South,7,4088.0,230.43
2022-01-26,Printer,Office,East,1,498.0,58.3
2022-01-27,Printer,Office,North,2,1268.0,141.76
2022-01-27,Monitor,Accessories,South,6,3672.0,1002.5
2022-01-27,Tablet,Electronics,North,5,400.0,86.52
2022-01-27,Headphones,Accessories,East,1,966.0,202.53
2022-01-28,Smartwatch,Electronics,South,5,1295.0,104.26
2022-01-28,Mouse,Accessories,North,6,606.0,104.52
2022-01-28,Smartphone,Electronics,West,3,1830.0,403.42
2022-01-28,Laptop,Electronics,North,8,8192.0,1822.87
2022-01-28,Monitor,Accessories,South,1,940.0,120.35
2022-01-29,Printer,Office,South,2,2224.0,116.47
2022-01-29,Camera,Electronics,South,4,4056.0,1189.26
2022-01-29,Smartphone,Electronics,East,7,2968.0,728.94
2022-01-29,Mouse,Accessories,South,8,2112.0,418.58
2022-01-29,Mouse,Accessories,West,1,1033.0,302.68
2022-01-29,Smartwatch,Electronics,North,7,3255.0,814.85
2022-01-30,Camera,Electronics,South,8,5352.0,1133.57
2022-01-31,Smartwatch,Electronics,East,5,4405.0,450.83
2022-01-31,Tablet,Electronics,South,4,1252.0,326.69
2022-01-31,Smartphone,Electronics,West,2,1438.0,315.83
2022-01-31,Camera,Electronics,South,2,1580.0,403.76
2022-01-31,Smartphone,Electronics,South,6,3366.0,460.75
2022-01-31,Laptop,Electronics,North,8,7064.0,1873.02
2022-01-31,Mouse,Accessories,South,1,1159.0,344.22
2022-01-31,Camera,Electronics,West,2,1716.0,368.06
2022-02-01,Smartwatch,Electronics,East,3,315.0,61.94
2022-02-02,Monitor,Accessories,North,8,1800.0,494.02
2022-02-02,Tablet,Electronics,East,8,6728.0,1140.19
2022-02-03,Keyboard,Accessories,East,3,1422.0,328.98
2022-02-03,Tablet,Electronics,West,8,5416.0,297.5
2022-02-03,Keyboard,Accessories,West,2,2116.0,159.3
2022-02-03,Keyboard,Accessories,West,1,930.0,222.5
2022-02-04,Laptop,Electronics,North,8,2880.0,315.87
2022-02-05,Printer,Office,North,1,686.0,86.18
2022-02-05,Printer,Office,West,8,3952.0,451.08
2022-02-05,Monitor,Accessories,South,3,3075.0,804.06
2022-02-05,Keyboard,Accessories,South,3,1950.0,211.16
2022-02-07,Monitor,Accessories,South,6,1716.0,302.09
2022-02-07,Smartwatch,Electronics,North,3,531.0,73.35
2022-02-07,Keyboard,Accessories,West,5,4550.0,1039.34
2022-02-08,Tablet,Electronics,North,5,855.0,217.16
2022-02-08,Tablet,Electronics,West,5,595.0,121.11
2022-02-08,Printer,Office,West,1,184.0,50.19
2022-02-08,Monitor,Accessories,North,6,5022.0,291.89
2022-02-08,Smartwatch,Electronics,North,2,522.0,52.73
2022-02-08,Keyboard,Accessories,East,7,7819.0,1708.84
2022-02-08,Monitor,Accessories,South,7,980.0,109.94
2022-02-08,Smartwatch,Electronics,West,7,1806.0,129.6
2022-02-09,Smartphone,Electronics,East,7,4529.0,273.97
2022-02-09,Smartwatch,Electronics,East,3,1410.0,232.65
2022-02-10,Laptop,Electronics,North,9,1350.0,189.13
2022-02-11,Camera,Electronics,North,4,4648.0,689.85
2022-02-11,Printer,Office,East,9,4212.0,552.96
2022-02-11,Camera,Electronics,West,3,1038.0,219.69
2022-02-11,Headphones,Accessories,North,8,456.0,74.99
2022-02-11,Tablet,Electronics,East,7,8337.0,753.35
2022-02-11,Printer,Office,West,9,7290.0,841.07
2022-02-12,Tablet,Electronics,South,2,294.0,35.05
2022-02-13,Laptop,Electronics,North,4,3384.0,947.52
2022-02-13,Tablet,Electronics,South,6,1944.0,366.18
2022-02-13,Headphones,Accessories,East,9,4914.0,1160.45
2022-02-13,Headphones,Accessories,North,3,3051.0,201.26
2022-02-13,Smartwatch,Electronics,North,4,2136.0,217.47
2022-02-13,Camera,Electronics,West,4,1848.0,374.66
2022-02-14,Laptop,Electronics,West,3,2703.0,609.75
2022-02-14,Printer,Office,South,2,1518.0,262.65
2022-02-15,Printer,Office,North,4,2804.0,391.59
2022-02-15,Camera,Electronics,South,4,528.0,152.8
2022-02-15,Tablet,Electronics,West,4,3452.0,560.31
2022-02-16,Mouse,Accessories,North,6,1512.0,423.03
2022-02-16,Camera,Electronics,West,4,3812.0,312.8
2022-02-16,Laptop,Electronics,South,8,1840.0,461.21
2022-02-16,Mouse,Accessories,West,9,7362.0,1866.65
2022-02-17,Mouse,Accessories,South,4,1156.0,326.92
2022-02-17,Camera,Electronics,North,2,1312.0,386.79
2022-02-17,Smartphone,Electronics,West,2,2260.0,268.47
