page_name,page_id,post_id,message,created_time,likes,comments,shares
JCMP Engineering Services,114693351675224,114693351675224_757617737383170,"👷‍♂️👷‍♂️👷‍♂️

‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
‎#BacolodContractor
‎#FitoutWorks
‎#PlumbingWorks
‎#ElectricalWorks
‎#QualityWorks",2026-01-08T08:01:26+0000,1,0,3
JCMP Engineering Services,114693351675224,114693351675224_754142207730723,"BUILD • RENOVATE • IMPROVE 

Quality Construction & Renovation Services You Can Trust!
Planning to renovate or upgrade your home? We’ve got you covered! We offer complete construction and renovation works, handled by skilled and experienced professionals.
✅ Our Services Include:
- Painting Works (interior & exterior)
- Ceiling Works (modern, cove, PVC, gypsum)
- Structural Works (repairs & upgrades)
- Masonry Works (walls, tiles, plastering)
- Metal Works (grills, gates, railings)
- Electrical Works (installation & rewiring)
- Plumbing Works (repairs & new lines)
- Interior Design Works (functional & stylish)
- Landscaping works (Supply & Arrangements)
✔️ Quality workmanship
✔️ Honest pricing
✔️ On-time project completion
✔️ Client satisfaction is our priority

📞 Message us today for a FREE consultation & site assessment!
Let’s turn your vision into reality.",2026-01-03T12:43:26+0000,0,0,9
JCMP Engineering Services,114693351675224,114693351675224_751805504631060,"Happy New Year, everyone! 🎆
May this coming 2026 bring us abundant blessings, good health, success, and happiness.
God bless us all! 🙏✨

‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
‎#BacolodContractor
‎#FitoutWorks
‎#PlumbingWorks
‎#ElectricalWorks
‎#QualityWorks
‎",2025-12-31T10:50:26+0000,2,1,1
JCMP Engineering Services,114693351675224,114693351675224_747011308443813,"Merry Christmas to everyone! 🎄
Thank you so much to those who help and support us, and to everyone who prays for our success. Your kindness means a lot to us. We are praying for all of you as well. God bless!

#FilipinoChristmas
‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
‎#BacolodContractor
‎#FitoutWorks
‎#PlumbingWorks
‎#ElectricalWorks
‎#QualityWorks",2025-12-24T13:37:05+0000,0,0,2
JCMP Engineering Services,114693351675224,114693351675224_745245368620407,"Ceiling + Electrical Works
‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
‎#BacolodContractor
‎#FitoutWorks
‎#PlumbingWorks
‎#ElectricalWorks
‎#QualityWorks",2025-12-22T02:31:12+0000,2,0,2
JCMP Engineering Services,114693351675224,114693351675224_737082516103359,"‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
‎#BacolodContractor
‎#FitoutWorks
‎#PlumbingWorks
‎#ElectricalWorks
‎#QualityWorks
‎",2025-12-10T22:30:41+0000,2,0,2
JCMP Engineering Services,114693351675224,114693351675224_735972579547686,"Indoor Overlooking Balcony
‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
‎#BacolodContractor
‎#FitoutWorks
‎#PlumbingWorks
‎#ElectricalWorks
‎#QualityWorks
‎",2025-12-09T10:22:39+0000,1,0,1
JCMP Engineering Services,114693351675224,114693351675224_735910132887264,"‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
‎#BacolodContractor
‎#FitoutWorks
‎#PlumbingWorks
‎#ElectricalWorks
‎#QualityWorks
‎",2025-12-09T08:16:19+0000,1,0,3
JCMP Engineering Services,114693351675224,114693351675224_733725993105678,Balcony Area,2025-12-06T07:10:17+0000,0,0,0
JCMP Engineering Services,114693351675224,114693351675224_733725006439110,"Balcony Area
‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
‎#BacolodContractor
‎#FitoutWorks
‎#PlumbingWorks
‎#ElectricalWorks
‎#QualityWorks
‎",2025-12-06T07:08:33+0000,3,0,3
